date,total_users
2020-07-29T00:00:00+00:00,2
2020-08-02T00:00:00+00:00,4
2020-08-03T00:00:00+00:00,118
2020-08-04T00:00:00+00:00,193
2020-08-05T00:00:00+00:00,311
2020-08-06T00:00:00+00:00,335
2020-08-07T00:00:00+00:00,350
2020-08-08T00:00:00+00:00,356
2020-08-09T00:00:00+00:00,359
2020-08-10T00:00:00+00:00,360
2020-08-11T00:00:00+00:00,371
2020-08-12T00:00:00+00:00,389
2020-08-13T00:00:00+00:00,408
2020-08-14T00:00:00+00:00,432
2020-08-15T00:00:00+00:00,441
2020-08-16T00:00:00+00:00,505
2020-08-17T00:00:00+00:00,606
2020-08-18T00:00:00+00:00,768
2020-08-19T00:00:00+00:00,911
2020-08-20T00:00:00+00:00,981
2020-08-21T00:00:00+00:00,1035
2020-08-22T00:00:00+00:00,1104
2020-08-23T00:00:00+00:00,1156
2020-08-24T00:00:00+00:00,1206
2020-08-25T00:00:00+00:00,1248
2020-08-26T00:00:00+00:00,1291
2020-08-27T00:00:00+00:00,1327
2020-08-28T00:00:00+00:00,1368
2020-08-29T00:00:00+00:00,1411
2020-08-30T00:00:00+00:00,1448
2020-08-31T00:00:00+00:00,1546
2020-09-01T00:00:00+00:00,1633
2020-09-02T00:00:00+00:00,1753
2020-09-03T00:00:00+00:00,1870
2020-09-04T00:00:00+00:00,1968
2020-09-05T00:00:00+00:00,2050
2020-09-06T00:00:00+00:00,2127
2020-09-07T00:00:00+00:00,2233
2020-09-08T00:00:00+00:00,2524
2020-09-09T00:00:00+00:00,2832
2020-09-10T00:00:00+00:00,3068
2020-09-11T00:00:00+00:00,3356
2020-09-12T00:00:00+00:00,3594
2020-09-13T00:00:00+00:00,3757
2020-09-14T00:00:00+00:00,3850
2020-09-15T00:00:00+00:00,3964
2020-09-16T00:00:00+00:00,4057
2020-09-17T00:00:00+00:00,4087
2020-09-18T00:00:00+00:00,4188
2020-09-19T00:00:00+00:00,4297
2020-09-20T00:00:00+00:00,4428
2020-09-21T00:00:00+00:00,4486
2020-09-22T00:00:00+00:00,4565
2020-09-23T00:00:00+00:00,4640
2020-09-24T00:00:00+00:00,4703
2020-09-25T00:00:00+00:00,4749
2020-09-26T00:00:00+00:00,4787
2020-09-27T00:00:00+00:00,4818
2020-09-28T00:00:00+00:00,4851
2020-09-29T00:00:00+00:00,4873
2020-09-30T00:00:00+00:00,4908
2020-10-01T00:00:00+00:00,4932
2020-10-02T00:00:00+00:00,4955
2020-10-03T00:00:00+00:00,4986
2020-10-04T00:00:00+00:00,5002
2020-10-05T00:00:00+00:00,5032
2020-10-06T00:00:00+00:00,5065
2020-10-07T00:00:00+00:00,5103
2020-10-08T00:00:00+00:00,5137
2020-10-09T00:00:00+00:00,5167
2020-10-10T00:00:00+00:00,5209
2020-10-11T00:00:00+00:00,5252
2020-10-12T00:00:00+00:00,5278
2020-10-13T00:00:00+00:00,5306
2020-10-14T00:00:00+00:00,5337
2020-10-15T00:00:00+00:00,5374
2020-10-16T00:00:00+00:00,5398
2020-10-17T00:00:00+00:00,5427
2020-10-18T00:00:00+00:00,5461
2020-10-19T00:00:00+00:00,5483
2020-10-20T00:00:00+00:00,5502
2020-10-21T00:00:00+00:00,5534
2020-10-22T00:00:00+00:00,5561
2020-10-23T00:00:00+00:00,5578
2020-10-24T00:00:00+00:00,5592
2020-10-25T00:00:00+00:00,5611
2020-10-26T00:00:00+00:00,5638
2020-10-27T00:00:00+00:00,5667
2020-10-28T00:00:00+00:00,5686
2020-10-29T00:00:00+00:00,5701
2020-10-30T00:00:00+00:00,5722
2020-10-31T00:00:00+00:00,5743
2020-11-01T00:00:00+00:00,5759
2020-11-02T00:00:00+00:00,5770
2020-11-03T00:00:00+00:00,5784
2020-11-04T00:00:00+00:00,5793
2020-11-05T00:00:00+00:00,5808
2020-11-06T00:00:00+00:00,5823
2020-11-07T00:00:00+00:00,5835
2020-11-08T00:00:00+00:00,5845
2020-11-09T00:00:00+00:00,5858
2020-11-10T00:00:00+00:00,5868
2020-11-11T00:00:00+00:00,5875
2020-11-12T00:00:00+00:00,5879
2020-11-13T00:00:00+00:00,5892
2020-11-14T00:00:00+00:00,5906
2020-11-15T00:00:00+00:00,5931
2020-11-16T00:00:00+00:00,5956
2020-11-17T00:00:00+00:00,5965
2020-11-18T00:00:00+00:00,5981
2020-11-19T00:00:00+00:00,5995
2020-11-20T00:00:00+00:00,6010
2020-11-21T00:00:00+00:00,6022
2020-11-22T00:00:00+00:00,6030
2020-11-23T00:00:00+00:00,6042
2020-11-24T00:00:00+00:00,6056
2020-11-25T00:00:00+00:00,6073
2020-11-26T00:00:00+00:00,6097
2020-11-27T00:00:00+00:00,6120
2020-11-28T00:00:00+00:00,6144
2020-11-29T00:00:00+00:00,6174
2020-11-30T00:00:00+00:00,6198
2020-12-01T00:00:00+00:00,6216
2020-12-02T00:00:00+00:00,6239
2020-12-03T00:00:00+00:00,6284
2020-12-04T00:00:00+00:00,6304
2020-12-05T00:00:00+00:00,6320
2020-12-06T00:00:00+00:00,6331
2020-12-07T00:00:00+00:00,6357
2020-12-08T00:00:00+00:00,6369
2020-12-09T00:00:00+00:00,6386
2020-12-10T00:00:00+00:00,6402
2020-12-11T00:00:00+00:00,6416
2020-12-12T00:00:00+00:00,6433
2020-12-13T00:00:00+00:00,6445
2020-12-14T00:00:00+00:00,6463
2020-12-15T00:00:00+00:00,6477
2020-12-16T00:00:00+00:00,6485
2020-12-17T00:00:00+00:00,6494
2020-12-18T00:00:00+00:00,6509
2020-12-19T00:00:00+00:00,6520
2020-12-20T00:00:00+00:00,6547
2020-12-21T00:00:00+00:00,6562
2020-12-22T00:00:00+00:00,6574
2020-12-23T00:00:00+00:00,6587
2020-12-24T00:00:00+00:00,6592
2020-12-25T00:00:00+00:00,6604
2020-12-26T00:00:00+00:00,6620
2020-12-27T00:00:00+00:00,6633
2020-12-28T00:00:00+00:00,6652
2020-12-29T00:00:00+00:00,6663
2020-12-30T00:00:00+00:00,6717
2020-12-31T00:00:00+00:00,6748
2021-01-01T00:00:00+00:00,6785
2021-01-02T00:00:00+00:00,6805
2021-01-03T00:00:00+00:00,6824
2021-01-04T00:00:00+00:00,6837
2021-01-05T00:00:00+00:00,6849
2021-01-06T00:00:00+00:00,6867
2021-01-07T00:00:00+00:00,6877
2021-01-08T00:00:00+00:00,6886
2021-01-09T00:00:00+00:00,6908
2021-01-10T00:00:00+00:00,6926
2021-01-11T00:00:00+00:00,6939
2021-01-12T00:00:00+00:00,6954
2021-01-13T00:00:00+00:00,6969
2021-01-14T00:00:00+00:00,6997
2021-01-15T00:00:00+00:00,7011
2021-01-16T00:00:00+00:00,7045
2021-01-17T00:00:00+00:00,7069
2021-01-18T00:00:00+00:00,7104
2021-01-19T00:00:00+00:00,7135
2021-01-20T00:00:00+00:00,7159
2021-01-21T00:00:00+00:00,7216
2021-01-22T00:00:00+00:00,7250
2021-01-23T00:00:00+00:00,7285
2021-01-24T00:00:00+00:00,7307
2021-01-25T00:00:00+00:00,7320
2021-01-26T00:00:00+00:00,7329
2021-01-27T00:00:00+00:00,7337
2021-01-28T00:00:00+00:00,7348
2021-01-29T00:00:00+00:00,7359
2021-01-30T00:00:00+00:00,7385
2021-01-31T00:00:00+00:00,7426
2021-02-01T00:00:00+00:00,7447
2021-02-02T00:00:00+00:00,7465
2021-02-03T00:00:00+00:00,7481
2021-02-04T00:00:00+00:00,7496
2021-02-05T00:00:00+00:00,7517
2021-02-06T00:00:00+00:00,7554
2021-02-07T00:00:00+00:00,7584
2021-02-08T00:00:00+00:00,7614
2021-02-09T00:00:00+00:00,7645
2021-02-10T00:00:00+00:00,7699
2021-02-11T00:00:00+00:00,7733
2021-02-12T00:00:00+00:00,7761
2021-02-13T00:00:00+00:00,7793
2021-02-14T00:00:00+00:00,7826
2021-02-15T00:00:00+00:00,7831
2021-02-16T00:00:00+00:00,7846
2021-02-17T00:00:00+00:00,7857
2021-02-18T00:00:00+00:00,7879
2021-02-19T00:00:00+00:00,7888
2021-02-20T00:00:00+00:00,7896
2021-02-21T00:00:00+00:00,7914
2021-02-22T00:00:00+00:00,7928
2021-02-23T00:00:00+00:00,7939
2021-02-24T00:00:00+00:00,7959
2021-02-25T00:00:00+00:00,7973
2021-02-26T00:00:00+00:00,7990
2021-02-27T00:00:00+00:00,8003
2021-02-28T00:00:00+00:00,8019
2021-03-01T00:00:00+00:00,8032
2021-03-02T00:00:00+00:00,8050
2021-03-03T00:00:00+00:00,8067
2021-03-04T00:00:00+00:00,8085
2021-03-05T00:00:00+00:00,8101
2021-03-06T00:00:00+00:00,8129
2021-03-07T00:00:00+00:00,8153
2021-03-08T00:00:00+00:00,8173
2021-03-09T00:00:00+00:00,8200
2021-03-10T00:00:00+00:00,8218
2021-03-11T00:00:00+00:00,8229
2021-03-12T00:00:00+00:00,8238
2021-03-13T00:00:00+00:00,8243
2021-03-14T00:00:00+00:00,8256
2021-03-15T00:00:00+00:00,8261
2021-03-16T00:00:00+00:00,8270
2021-03-17T00:00:00+00:00,8276
2021-03-18T00:00:00+00:00,8288
2021-03-19T00:00:00+00:00,8299
2021-03-20T00:00:00+00:00,8312
2021-03-21T00:00:00+00:00,8327
2021-03-22T00:00:00+00:00,8334
2021-03-23T00:00:00+00:00,8342
2021-03-24T00:00:00+00:00,8344
2021-03-25T00:00:00+00:00,8351
2021-03-26T00:00:00+00:00,8360
2021-03-27T00:00:00+00:00,8369
2021-03-28T00:00:00+00:00,8380
2021-03-29T00:00:00+00:00,8388
2021-03-30T00:00:00+00:00,8413
2021-03-31T00:00:00+00:00,8434
2021-04-01T00:00:00+00:00,8448
2021-04-02T00:00:00+00:00,8460
2021-04-03T00:00:00+00:00,8477
2021-04-04T00:00:00+00:00,8511
2021-04-05T00:00:00+00:00,8527
2021-04-06T00:00:00+00:00,8536
2021-04-07T00:00:00+00:00,8546
2021-04-08T00:00:00+00:00,8564
2021-04-09T00:00:00+00:00,8576
2021-04-10T00:00:00+00:00,8589
2021-04-11T00:00:00+00:00,8608
2021-04-12T00:00:00+00:00,8617
2021-04-13T00:00:00+00:00,8625
2021-04-14T00:00:00+00:00,8630
2021-04-15T00:00:00+00:00,8646
2021-04-16T00:00:00+00:00,8651
2021-04-17T00:00:00+00:00,8663
2021-04-18T00:00:00+00:00,8671
2021-04-19T00:00:00+00:00,8672
2021-04-20T00:00:00+00:00,8675
2021-04-21T00:00:00+00:00,8678
2021-04-22T00:00:00+00:00,8692
2021-04-23T00:00:00+00:00,8698
2021-04-24T00:00:00+00:00,8708
2021-04-25T00:00:00+00:00,8724
2021-04-26T00:00:00+00:00,8732
2021-04-27T00:00:00+00:00,8746
2021-04-28T00:00:00+00:00,8757
2021-04-29T00:00:00+00:00,8764
2021-04-30T00:00:00+00:00,8773
2021-05-01T00:00:00+00:00,8787
2021-05-02T00:00:00+00:00,8806
2021-05-03T00:00:00+00:00,8818
2021-05-04T00:00:00+00:00,8826
2021-05-05T00:00:00+00:00,8835
2021-05-06T00:00:00+00:00,8844
2021-05-07T00:00:00+00:00,8850
2021-05-08T00:00:00+00:00,8854
2021-05-09T00:00:00+00:00,8858
2021-05-10T00:00:00+00:00,8859
2021-05-12T00:00:00+00:00,8862
2021-05-13T00:00:00+00:00,8867
2021-05-14T00:00:00+00:00,8878
2021-05-15T00:00:00+00:00,8880
2021-05-16T00:00:00+00:00,8885
2021-05-17T00:00:00+00:00,8894
2021-05-18T00:00:00+00:00,8912
2021-05-19T00:00:00+00:00,8923
2021-05-20T00:00:00+00:00,8936
2021-05-21T00:00:00+00:00,8952
2021-05-22T00:00:00+00:00,8961
2021-05-23T00:00:00+00:00,8976
2021-05-24T00:00:00+00:00,8985
2021-05-25T00:00:00+00:00,9002
2021-05-26T00:00:00+00:00,9005
2021-05-27T00:00:00+00:00,9018
2021-05-28T00:00:00+00:00,9027
2021-05-29T00:00:00+00:00,9034
2021-05-30T00:00:00+00:00,9058
2021-05-31T00:00:00+00:00,9067
2021-06-01T00:00:00+00:00,9074
